,0_x,+,−,?,communictaion,quality,price,safety
0,15 03 2022 обратиться горячий линия закрытие счёт кредит получение справка закрытие состояние счёт 21 12 2021,0.10393414302634937,0.711518033072418,0.1845478239012327,1.0,0.0,0.0,0.0
1,который год ткб не решаться глобальный проблема отправка банальный справка остаток счёт запрос приложение веб версия так п,0.8475098323902842,0.08284700557392888,0.06964316203578687,0.0,0.3333333333333333,0.6666666666666666,0.0
2,добрый день,0.40934789560776214,0.15340358243013685,0.437248521962101,1.0,0.0,0.0,0.0
3,добрый день сегодня зайти свой личный кабинет обнаружить пропасть весь информация весь мой счёт,0.047823790387269305,0.41514613914407544,0.5370300704686553,1.0,0.0,0.0,0.0
4,обслуживаться тинькофф пара год возникнуть жестокий потребность получение квалифицировать инвестор возможный последующий покупка акция акционерный общество,0.9567513826412998,0.0004972431727513405,0.04275137418594888,0.0,1.0,0.0,0.0
5,начало месяц прогреметь новость начинать 23го июнь банк начать снимать комиссия 12 годовой валютный счёт,0.017103634889094894,0.7903456790490049,0.19255068606190015,1.0,0.0,0.0,0.0
6,оставлять отзыв работа персональный менеджер так ч никита,0.17623120307212436,0.7131316645878097,0.11063713234006589,0.3333333333333333,0.6666666666666666,0.0,0.0
7,ввести цб ограничение выдача наличный доллар осуществляться банк заявка не менее 20 день,0.0682089295815344,0.7743874957395257,0.15740357467893998,0.5,0.0,0.0,0.5
8,заходить сайт втб входить личный кабинет не мочь получить инф движение средство карта,0.012054252228169502,0.5703841425785948,0.4175616051932357,0.3333333333333333,0.6666666666666666,0.0,0.0
9,банк замечательный быстро выдавать кредит наладить являться клиент банк 2008 год знать банк никто ваш запрос не отвечать,0.04311829479331314,0.9061800309191373,0.05070167428754939,0.0,1.0,0.0,0.0
10,отвратительный работа банк,0.02296607119394587,0.9519622767526031,0.025071652053450945,0.0,1.0,0.0,0.0
11,открыть первый ип работа выбрать сбербанк который момент давать такой условие рынок другой банк,0.10396256916588867,0.3983548747332503,0.49768255610086104,1.0,0.0,0.0,0.0
12,итак погнать несколько год пользоваться продукт банк не понимать почему такой дурной слава ходить,0.07420004058498776,0.8755649833949344,0.050234976020077766,0.0,1.0,0.0,0.0
13,11 июль мой почта тб поступить письмо штраф 1000 руб гибдд,0.025970063654560567,0.16628384115683256,0.8077460951886068,1.0,0.0,0.0,0.0
14,пользоваться услуга банк 7 год 2 разный карта накопительный счёт тд сервис высота весь рекомендовать чётко быстро решаться,0.9991948966134414,0.0005899316304333047,0.00021517175612521995,0.0,1.0,0.0,0.0
15,хотеть сказать большой спасибо сотрудник банк п му артема александрович помощь неравнодушие возникнуть больший трудность оплата кредит вникнуть ситуация очень помочь продолжать помогать общаться очень вежливый,0.9998972615308304,4.246939027413374e-06,9.849153014230507e-05,1.0,0.0,0.0,0.0
16,12 октябрь стать клиент втб открыть вклад надёжный основа 370 день 8 3 годовой,0.5281227896774046,0.08591327226535986,0.3859639380572356,1.0,0.0,0.0,0.0
17,пользоваться кредитный карта альфа банк пара год,0.2408304089259151,0.26316108207096855,0.49600850900311644,0.0,1.0,0.0,0.0
18,сбербанк 2й списывать автоматически карта алименты погашение кредит карта отвязать автоплатёж не получаться так,0.024470666476408533,0.8303004215454717,0.14522891197811985,0.3333333333333333,0.6666666666666666,0.0,0.0
19,здравствуйте 17 июль столкнуться неприятный ситуация яровой карта причал,0.0006270088295926185,0.9893811414146728,0.009991849755734465,0.0,1.0,0.0,0.0
20,получить кредитка сказать курьер отключить платный услуга страховка карта,0.06479687157295523,0.16217939437729656,0.7730237340497483,1.0,0.0,0.0,0.0
21,добрый день выражать признательность профессионализм сотрудник банк главный клиентский менеджер далее ву дмитрий,0.9597161613600925,0.0031971024457876137,0.03708673619411997,1.0,0.0,0.0,0.0
22,итог начать служебный проверка отношение сотрудник также написать заявление мвд цао,0.04990348741375003,0.5311309874694603,0.41896552511678964,0.5,0.5,0.0,0.0
23,пользоваться услуга банк давно последний момент довольный,0.8862057699186077,0.023333526722558062,0.0904607033588343,0.0,1.0,0.0,0.0
24,02 08 2021 передать пао сбербанк заявление приём исполнение исполнительный лист фс 03 82 взыскание денежный средство размер 214906 50 руб,1.1177826804171545e-05,0.022150834629931136,0.9778379875432646,0.0,1.0,0.0,0.0
25,являться клиент банк открытие протяжение 1 месяц,0.07320162370288906,0.6614632868670075,0.2653350894301035,0.0,1.0,0.0,0.0
26,взять потребительский кредит совкомбанк который полный погашение долг соблюдение условие банк возвращаться процент,0.23951622999986122,0.6564524814384524,0.10403128856168636,0.0,1.0,0.0,0.0
27,столкнуться проблема страховка,0.07515633144592171,0.8519197209938681,0.07292394756021013,0.5,0.5,0.0,0.0
28,карта восток банк восточный последний стать часть совкомбанк карта стать халва,0.4326101380491911,0.2856558689647454,0.2817339929860636,0.0,1.0,0.0,0.0
29,банк 2020 год менять не собираться,0.0643322066586071,0.5290057031638438,0.40666209017754906,0.0,1.0,0.0,0.0
30,14 02 2022г счёт мой мать 408179 11 являться доверенный лицо дать счёт г ич альбин м,0.4917998563677081,0.15163755917914412,0.3565625844531477,1.0,0.0,0.0,0.0
31,здравствуйте,0.04462870345589294,0.7926334918538005,0.1627378046903066,1.0,0.0,0.0,0.0
32,пытаться продлить страховой полис,0.1914481154186173,0.6781438346950864,0.13040804988629626,0.6666666666666666,0.3333333333333333,0.0,0.0
33,просить проверить звонок 01 07 2022 17 58 самарский время номер 89 номер 88002000000 наказать сотрудник весь ваш строгость,0.017236963647032602,0.6842597542223138,0.2985032821306535,0.0,1.0,0.0,0.0
34,взять 31 07 2022 взять автокредит диллерский центр джить город иркутск,0.035197339059775366,0.893158640887608,0.07164402005261658,1.0,0.0,0.0,0.0
35,ранний мой город банк золотой кольцо урал войти мкб оттуда узнать,0.014741185865418626,0.8656352920238878,0.11962352211069353,0.0,1.0,0.0,0.0
36,25 март 2022 отправить swift перевод близкий родственник грузия 30 март 2022 прийти сообщение банк тинькофф просьба уточнить реквизит банк корреспондента31 март 2022 предоставить тинькофф дать банк корреспондента4 май 2022,0.07302005886844448,0.01706513668428185,0.9099148044472736,1.0,0.0,0.0,0.0
37,часто забывать очевидный вещь,0.08972988146055692,0.19696432492884378,0.7133057936105994,1.0,0.0,0.0,0.0
38,14 октябрь 2022 год срочно понадобиться перевезти крупный сумма банк,0.04336025301686557,0.8002198467782846,0.1564199002048499,0.0,1.0,0.0,0.0
39,проблема который прийтись столкнуться часть который оказаться не решить неправильный расчёт процент накопительный счёт необоснованный списание средство смс информирование карта который не подключать,0.00013688784063320663,0.9931522716037735,0.00671084055559319,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
40,сегодня полдень втб не работать сбп звонить банк вопрос дело заработать сбп,0.04084822970534365,0.9454572617073541,0.013694508587302263,1.0,0.0,0.0,0.0
41,добрый день проблема положить деньга банкомат взять зависнуть обратиться поддержка оставить заявка мы ответить смс ждать 04 01 22 16 01 22 наступить дата решение прислать смс продлить 25 01 22 не понимать проблема,5.829859925967644e-07,0.9820540254150575,0.01794539159894987,1.0,0.0,0.0,0.0
42,оплатить жкх 8 ноябрь сбербанк онлайн попытаться распечатать бумажный подтверждение платёж,0.0037567171777433206,0.38933416829132084,0.6069091145309358,1.0,0.0,0.0,0.0
43,хороший банк 4 5 5 никто не поставить рф,0.14857459371251597,0.8183149029835501,0.033110503303933864,0.0,1.0,0.0,0.0
44,01 09 2021 год подать заявка оформление дебетовый карта сайт банк входящий звонок сотрудник банк выясниться банк данные код подразделение отдел милиция мой паспорт,0.006821681734472264,0.9459541138765902,0.047224204388937485,1.0,0.0,0.0,0.0
45,перевыпуск дебетовый карта попытаться привязать её иметься платёжный система,0.03453630533915654,0.036240760957613936,0.9292229337032296,0.0,0.0,1.0,0.0
46,хотеть выразить свой отзыв благодарность сотрудник мтс бснка г,0.7483196564934074,0.17344372277051806,0.07823662073607464,0.5,0.5,0.0,0.0
47,приветствовать не хотеть писать отзыв прийтись накипеть,0.026202696321893624,0.888615534713418,0.08518176896468821,1.0,0.0,0.0,0.0
48,хотеть написать заявление полиция факт хищение средство счёт мтс банк просьба предоставить платёжка справка уйти мой деньга сотрудник техподдержка сообщить делать не уметь не быть предложить,1.0751272852506526e-06,0.999811686682462,0.00018723819025278417,1.0,0.0,0.0,0.0
49,работник юр отдел банк терроризировать долгий время телефонный звонок связь кредит не мой взять,0.044482185901062066,0.9498719356836853,0.005645878415252517,1.0,0.0,0.0,0.0
50,стать премиальный клиент бкс,0.15169062956977383,0.44559659712632266,0.4027127733039035,1.0,0.0,0.0,0.0
51,система поддержка пользователь нулевой уровень,0.40265939784653293,0.2396472809332378,0.3576933212202293,1.0,0.0,0.0,0.0
52,верный свой манера начать издалёка,0.024326944556883286,0.3065673253941034,0.6691057300490133,1.0,0.0,0.0,0.0
53,11 10 2021 получить предложение открытие брокерский счёт альфа инвестиция приложение альфа банк,0.020389617130247565,0.3202969587652704,0.659313424104482,0.0,0.6666666666666666,0.3333333333333333,0.0
